#,Season,Champions,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Caitlyn,12,11,2.55,"14,843",498,213.2,7.2,"31,097","21,670",27,9,1,0
2,2024S2,Ezreal,8,7,4.17,"15,595",503.8,212,6.8,"42,472","26,402",38,3,0,0
3,2024S2,Kai'Sa,3,5,3.27,"17,965",513.8,271,7.8,"36,658","26,349",16,2,1,0
4,2024S2,Azir,2,4,4.61,"13,150",489.3,204.8,7.6,"28,535","20,561",11,0,0,0
5,2024S2,Lee Sin,5,0,4.76,"11,930",442.5,159.6,5.9,"19,143","31,672",3,0,0,0
6,2024S2,Hwei,2,2,4.19,"14,951",415.5,208.3,5.8,"35,501","21,739",1,0,0,0
7,2024S2,Galio,1,3,2.06,"8,227",343.3,161.8,6.8,"11,301","20,771",1,0,0,0
8,2024S2,Corki,0,4,2.28,"17,214",502.8,285.3,8.3,"37,063","32,828",5,1,0,0
9,2024S2,Tristana,2,1,3.46,"16,351",491.4,253.3,7.6,"28,769","25,865",3,1,0,0
10,2024S2,Jhin,1,2,4.31,"16,128",448.7,284.7,7.9,"35,569","19,789",2,0,0,0
11,2024S2,Poppy,1,2,2.94,"10,975",378.4,151.7,5.2,"15,197","30,679",1,0,0,0
12,2024S2,Jarvan IV,0,3,3.08,"11,803",392.6,142.7,4.7,"18,655","32,029",2,0,0,0
13,2024S2,Brand,2,0,2.84,"16,490",480.6,214,6.2,"39,666","36,668",3,0,0,0
14,2024S2,Orianna,2,0,9.14,"20,099",547.7,272,7.4,"47,412","23,047",6,2,0,0
15,2024S2,Amumu,2,0,11.75,"12,982",444.8,178,6.1,"26,779","32,661",0,0,0,0
16,2024S2,Anivia,1,1,4.7,"15,472",455.5,235,6.9,"40,244","43,650",2,1,0,0
17,2024S2,Lucian,1,1,3.25,"14,043",464.9,209,6.9,"31,926","22,898",4,1,0,0
18,2024S2,Zeri,1,1,3.18,"14,058",449.7,252,8.1,"29,662","28,188",1,0,0,0
19,2024S2,Miss Fortune,1,1,44,"20,182",536.2,325,8.6,"52,364","27,571",10,0,0,0
20,2024S2,Ziggs,0,2,2.3,"13,628",466.6,223,7.6,"36,926","23,192",1,0,0,0
21,2024S2,Smolder,0,2,2.42,"17,617",478.9,335,9.1,"36,222","31,480",4,1,0,0
22,2024S2,Xin Zhao,1,0,5.5,"11,963",368.1,228,7,"13,107","50,957",0,0,0,0
23,2024S2,Lux,1,0,8,"12,751",464.2,207,7.5,"19,139","14,308",0,0,0,0
24,2024S2,Cassiopeia,1,0,5.33,"11,576",469.9,150,6.1,"27,926","24,036",1,0,0,0
25,2024S2,Malphite,1,0,5.43,"22,347",513.5,183,4.2,"49,823","34,035",6,0,0,0
26,2024S2,Ashe,1,0,5,"11,573",547.2,184,8.7,"16,823","10,909",1,0,0,0
27,2024S2,Ekko,1,0,13,"10,490",446.4,152,6.5,"12,908","31,475",0,0,0,0
28,2024S2,Taliyah,0,1,1.86,"9,884",335.2,160,5.4,"15,976","23,987",0,0,0,0
29,2024S2,Ahri,0,1,1.43,"12,358",351.7,221,6.3,"20,361","29,189",0,0,0,0
30,2024S2,Sejuani,0,1,7.57,"19,776",368.6,192,3.6,"47,842","84,336",0,0,0,0
31,2024S2,Zac,0,1,3.25,"10,631",432.4,147,6,"15,323","40,304",0,0,0,0
32,2024S2,Zyra,0,1,1.4,"8,749",334.8,167,6.4,"12,693","20,678",0,0,0,0
