#,Season,Champions,Lane,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Thresh,,10,13,3.62,"8,220",282.7,32.4,1.1,"10,760","20,215",0,0,0,0
2,2024S2,Leona,,10,8,3.21,"8,636",290.2,28.3,1,"12,654","29,798",1,0,0,0
3,2024S2,Braum,,7,6,3.8,"9,301",281.4,28.6,0.9,"12,002","33,878",0,0,0,0
4,2024S2,Rell,,4,6,4.03,"10,120",299.5,27.5,0.8,"11,262","34,227",0,0,0,0
5,2024S2,Nautilus,,2,7,1.75,"7,941",263.6,29.2,1,"9,942","33,843",0,0,0,0
6,2024S2,Alistar,,4,4,3.37,"8,161",275,29.9,1,"9,228","37,082",1,0,0,0
7,2024S2,Morgana,,4,3,2.44,"9,028",310.3,35.4,1.2,"15,950","22,502",0,0,0,0
8,2024S2,Nami,,2,1,9.5,"8,157",314.9,19.3,0.7,"8,960","9,293",0,0,0,0
9,2024S2,Swain,,0,3,1.72,"9,191",306.5,50,1.7,"19,017","37,197",2,0,0,0
10,2024S2,Renata Glasc,,2,0,13.6,"12,045",334.8,38.5,1.1,"10,092","19,548",0,0,0,0
11,2024S2,Nasus,,2,0,2.2,"11,304",374.8,216.5,7.2,"9,735","41,720",0,0,0,0
12,2024S2,Zyra,,1,1,1.21,"9,298",268.5,65,1.9,"19,287","22,004",0,0,0,0
13,2024S2,Taric,,0,2,1.92,"7,643",253.1,35.5,1.2,"7,845","25,450",0,0,0,0
14,2024S2,Blitzcrank,,0,2,2.38,"8,813",251.9,28.5,0.8,"9,606","28,433",0,0,0,0
15,2024S2,Seraphine,,0,2,2.13,"10,148",277.4,49,1.3,"12,700","26,890",0,0,0,0
16,2024S2,Jinx,,1,0,5,"14,806",455.6,222,6.8,"22,144","24,566",0,0,0,0
17,2024S2,Lulu,,1,0,2,"5,545",266.2,26,1.2,"4,609","4,035",0,0,0,0
18,2024S2,Jhin,,1,1,1.69,"16,877",412.1,248,6.1,"33,338","42,940",1,0,0,0
19,2024S2,Senna,,1,1,1.38,"9,776",278.3,40,1.1,"12,989","27,869",0,0,0,0
20,2024S2,Lux,,1,1,3.6,"10,849",327.6,64,1.9,"30,298","14,148",0,0,0,0
1,2024S1,Renata Glasc,,9,4,5.52,"9,729",317.5,29.8,1,"11,013","19,011",0,0,0,0
2,2024S1,Maokai,,5,5,2.9,"11,028",310.8,32.7,0.9,"18,123","37,213",2,0,0,0
3,2024S1,Bard,,4,3,4.83,"9,393",310.9,25.7,0.9,"12,691","20,839",1,0,0,0
4,2024S1,Morgana,,3,2,2.8,"11,205",338,44.4,1.3,"27,286","29,519",0,0,0,0
5,2024S1,Zyra,,1,4,2.59,"13,562",335.9,78.8,2,"36,545","31,470",1,0,0,0
6,2024S1,Nami,,2,2,6.08,"8,825",301.8,21,0.7,"12,317","13,964",1,0,0,0
7,2024S1,Braum,,1,3,2.52,"7,328",263.5,20.5,0.7,"9,554","22,519",0,0,0,0
8,2024S1,Zilean,,1,2,2.68,"8,951",321,37.3,1.3,"11,810","20,119",1,0,0,0
9,2024S1,Blitzcrank,,2,0,6.5,"10,085",307.9,27,0.8,"11,533","25,368",0,0,0,0
10,2024S1,Lux,,1,1,7.67,"11,230",328.4,47.5,1.4,"21,924","18,306",0,0,0,0
11,2024S1,Soraka,,1,1,5.56,"10,083",284.4,31.5,0.9,"10,412","24,004",0,0,0,0
12,2024S1,Thresh,,1,1,4.13,"9,217",310.8,36.5,1.2,"14,217","26,368",0,0,0,0
