#,Season,Champions,Lane,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Jhin,,9,7,3.38,"12,659",433.4,194.9,6.7,"24,764","20,940",12,1,0,0
2,2024S2,Smolder,,3,10,1.85,"13,400",410.3,246.2,7.5,"26,931","28,706",7,2,0,0
3,2024S2,Kai'sa,,3,7,2.56,"12,324",451.8,187.1,6.9,"26,213","19,673",18,2,1,0
4,2024S2,Jinx,,4,5,3.47,"15,670",488.1,241.7,7.5,"31,461","26,628",18,8,0,0
5,2024S2,Aphelios,,4,4,3.2,"13,583",485,208.8,7.5,"24,943","18,358",15,3,0,0
6,2024S2,Miss Fortune,,3,3,2.67,"14,400",468.5,224.3,7.3,"29,551","21,252",4,2,0,0
7,2024S2,Vayne,,2,2,2.5,"12,028",428.2,194.5,6.9,"18,572","20,146",5,2,0,0
8,2024S2,Ezreal,,2,2,3.31,"10,532",402.4,196.3,7.5,"22,484","18,741",3,1,0,0
9,2024S2,Ashe,,2,2,2.5,"12,352",398.5,202.5,6.5,"23,934","21,178",2,,0,0
10,2024S2,Zeri,,1,1,3.15,"17,616",473.9,275,7.4,"42,158","37,301",4,1,0,0
11,2024S2,Lucian,,1,1,2.39,"15,334",433.1,253,7.1,"35,776","33,099",2,1,1,1
12,2024S2,Draven,,0,1,0.63,"11,683",447.1,203,7.8,"13,463","16,145",0,0,0,0
13,2024S2,Senna,,0,1,0.75,"4,468",291.7,26,1.7,"3,914","7,221",0,0,0,0
1,2024S1,Smolder,,37,34,2.44,"13,397",441.5,221.2,7.3,"30,135","25,447",82,17,0,0
2,2024S1,Twisted Fate,,23,20,2.37,"14,374",480.5,203.1,6.8,"22,704","25,909",40,6,1,0
3,2024S1,Senna,,17,8,2.94,"12,116",413.8,94.8,3.2,"22,900","22,594",13,3,1,0
4,2024S1,Miss Fortune,,13,7,2.39,"14,546",503.4,185.6,6.4,"32,057","24,492",42,6,1,0
5,2024S1,Vayne,,7,9,1.98,"11,952",420.4,195.3,6.9,"19,325","22,024",18,3,0,0
6,2024S1,Lucian,,3,6,1.91,"13,993",460.7,209.4,6.9,"27,300","26,315",10,2,1,1
7,2024S1,Samira,,5,3,2.37,"13,759",476.3,194.8,6.7,"23,435","23,359",17,2,0,0
8,2024S1,Caitlyn,,4,4,2.79,"12,203",450.1,180.5,6.7,"20,212","19,198",6,0,0,0
9,2024S1,Ezreal,,5,2,2.56,"12,874",452.1,191.4,6.7,"26,293","23,233",8,2,0,0
10,2024S1,Aphelios,,4,3,2.38,"15,572",477.4,230.4,7.1,"36,822","28,264",13,1,0,0
11,2024S1,Zeri,,3,4,3.07,"16,317",523.1,262.7,8.4,"32,435","27,562",12,2,0,0
12,2024S1,Draven,,3,3,1.59,"14,010",486.5,194.2,6.7,"22,903","25,131",4,0,0,0
13,2024S1,Jhin,,1,3,2.62,"11,323",421.5,154.3,5.7,"21,453","23,386",4,0,0,0
14,2024S1,Kai'sa,,3,0,4.44,"16,266",533.4,242.3,7.9,"28,732","21,316",2,0,0,0
15,2024S1,Kalista,,2,1,4.57,"15,916",503,243,7.7,"36,755","27,613",5,1,0,0
16,2024S1,Jinx,,2,1,2.04,"13,157",445.5,237,8,"26,636","24,870",2,1,1,0
17,2024S1,Teemo,,0,3,1.2,"12,232",375.3,113.3,3.5,"29,794","25,719",0,0,0,0
18,2024S1,Kog'Maw,,2,0,5.22,"16,945",467.2,270.5,7.5,"41,729","36,252",1,1,0,0
19,2024S1,Twitch,,1,1,2.5,"10,011",345.8,173.5,6,"17,717","22,873",0,0,0,0
20,2024S1,Varus,,1,1,2.2,"15,377",456.2,249,7.4,"35,090","31,405",2,0,0,0
21,2024S1,Nilah,,0,2,1.67,"18,918",494.3,295,7.7,"37,945","42,904",4,0,0,0
22,2024S1,Akshan,,0,1,1,"17,840",361.3,251,5.1,"44,026","54,049",0,0,0,0
23,2024S1,Yone,,0,1,1.2,"14,002",440.5,180,5.7,"17,855","25,253",0,0,0,0
24,2024S1,Ashe,,0,1,0.6,"4,617",288,30,1.9,"6,073","8,362",0,0,0,0
25,2024S1,Seraphine,,0,1,2.36,"16,583",375.5,225,5.1,"48,014","60,840",1,0,0,0
1,2023S2,Vayne,,26,21,2.37,"14,546",459.1,212.7,6.7,"27,351","26,094",79,19,4,1
2,2023S2,Ezreal,,9,9,2.65,"13,564",439.6,199.9,6.5,"28,563","25,720",20,1,0,0
3,2023S2,Aphelios,,9,3,2.78,"13,303",464.2,189.8,6.6,"26,437","17,833",17,5,1,0
4,2023S2,Samira,,7,4,3,"15,362",539,194.5,6.8,"24,964","22,254",37,13,3,1
5,2023S2,Varus,,7,4,3.57,"14,054",513.8,196.6,7.2,"24,720","20,633",19,3,1,0
6,2023S2,Yone,,6,5,2.02,"10,923",409.5,177.8,6.7,"14,047","20,097",7,1,0,0
7,2023S2,Jinx,,5,4,3.33,"13,514",468.6,215,7.5,"24,873","17,819",16,2,0,0
8,2023S2,Kai'Sa,,3,6,2.28,"13,850",444,207.4,6.6,"23,268","21,827",7,3,1,0
9,2023S2,Caitlyn,,3,6,2.1,"12,543",444.2,175.4,6.2,"21,359","19,473",7,0,0,0
10,2023S2,Lucian,,3,6,1.86,"13,852",434.4,234.4,7.4,"24,326","25,895",12,3,0,0
11,2023S2,Draven,,1,6,1.54,"13,959",482.3,205.7,7.1,"20,283","25,572",14,3,0,0
12,2023S2,Senna,,3,3,2.79,"11,760",352.3,73,2.2,"18,220","21,584",4,1,0,0
13,2023S2,Xayah,,4,1,4.14,"13,695",461.2,240.4,8.1,"26,038","21,947",7,0,0,0
14,2023S2,Miss Fortune,,1,4,1.98,"13,351",396.8,167.6,5,"27,013","25,825",5,2,0,0
