#,Season,Champions,Lane,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Amumu,,12,12,1.38,"9,952",319.6,148.5,4.8,"12,265","35,261",2,0,0,0
2,2024S2,Sejuani,,2,4,1.97,"8,822",306,132.7,4.6,"9,200","34,245",0,0,0,0
3,2024S2,Vi,,2,2,1.63,"10,609",325.1,137,4.2,"10,325","41,148",1,1,0,0
1,2024S1,Vi,,11,11,1.39,"10,281",316.3,143.4,4.4,"9,593","37,518",3,0,0,0
2,2024S1,Bel'Veth,,2,3,1.42,"10,768",351.5,182.6,6,"11,791","30,551",0,0,0,0
3,2024S1,Sejuani,,1,3,2.07,"9,415",304.5,162.3,5.2,"7,021","28,958",0,0,0,0
4,2024S1,Rammus,,0,1,0.89,"10,770",278.8,118,3.1,"12,438","53,961",0,0,0,0
1,2023S2,Sejuani,,13,9,2.1,"9,325",317.3,126.9,4.3,"8,121","30,499",2,0,0,0
2,2023S2,Maokai,,6,4,1.99,"10,545",314.3,116.7,3.5,"12,240","39,395",2,0,0,0
3,2023S2,Rammus,,4,2,1.16,"8,486",286.2,109.3,3.7,"7,692","29,837",0,0,0,0
4,2023S2,Bel'Veth,,1,4,0.9,"10,277",320.3,147,4.6,"7,503","33,259",0,0,0,0
5,2023S2,Tryndamere,,2,1,0.27,"9,501",300.7,165.7,5.2,"9,265","35,377",0,0,0,0
6,2023S2,Zac,,1,0,1.63,"9,729",305,124,3.9,"13,160","50,315",0,0,0,0
7,2023S2,Vi,,0,1,0.5,"8,719",260.9,111,3.3,"5,326","39,798",0,0,0,0
8,2023S2,Jarvan IV,,0,1,0.64,"9,661",260.4,123,3.3,"6,145","49,900",0,0,0,0
9,2023S2,Garen,,0,1,0.25,"15,482",322,253,5.3,"10,034","56,063",0,0,0,0
1,2023S1,Bel'Veth,,12,22,1.15,10596,355.1,149,5,0,"29,207",10,0,0,0
2,2023S1,Sejuani,,2,4,1.33,8595,301.2,117.8,4.1,0,"30,599",0,0,0,0
3,2023S1,Warwick,,0,2,0.95,8319,332.9,91,3.6,0,"28,830",2,0,0,0
4,2023S1,Nocturne,,0,2,0.84,8931,296.2,110.5,3.7,0,"32,633",1,0,0,0
5,2023S1,Zac,,1,0,3,6889,339.1,74,3.6,0,"20,804",1,0,0,0
