#,Season,Champions,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Jax,8,10,2.36,"12,353",385.8,181.1,5.7,"23,970","31,379",12,2,0,0
2,2024S2,Veigar,8,9,3.06,"13,876",423.7,215.3,6.6,"33,821","23,922",9,1,0,0
3,2024S2,Camille,4,10,2.05,"11,714",377.6,173.3,5.6,"24,494","34,418",5,0,0,0
4,2024S2,Vel'Koz,8,5,3.92,"11,282",396.8,157.8,5.6,"28,798","18,138",9,2,0,0
5,2024S2,Mordekaiser,6,4,3.43,"12,058",437,187.5,6.8,"26,601","28,228",6,0,0,0
6,2024S2,Volibear,3,7,1.97,"11,476",371.2,183.4,5.9,"23,585","34,648",1,0,0,0
7,2024S2,Lux,4,3,2.17,"10,966",348,170.9,5.4,"28,097","16,232",0,0,0,0
8,2024S2,Lissandra,4,1,2.39,"9,958",373.8,153.6,5.8,"20,684","19,380",5,1,0,0
9,2024S2,Yone,2,3,1.88,"11,939",368.6,195.2,6,"26,457","31,697",2,0,0,0
10,2024S2,Swain,1,1,4.63,"11,483",371,175.5,5.7,"25,059","29,607",0,0,0,0
11,2024S2,Aatrox,1,1,2.67,"10,363",362,156.5,5.5,"12,610","33,638",1,1,0,0
12,2024S2,Tahm Kench,0,2,2.92,"14,417",363.6,195.5,4.9,"28,899","56,065",1,0,0,0
13,2024S2,Hwei,0,2,1.38,"9,740",337,161.5,5.6,"19,876","22,013",0,0,0,0
14,2024S2,Sylas,1,0,1.18,"10,666",363.6,131,4.5,"22,303","30,507",1,0,0,0
15,2024S2,Trundle,1,0,1,"16,741",420.8,297,7.5,"28,701","54,099",0,0,0,0
16,2024S2,Vex,1,0,3.33,"12,446",419.3,191,6.4,"34,890","21,324",1,0,0,0
17,2024S2,Kled,0,1,1.83,"9,334",316.6,170,5.8,"20,406","37,177",0,0,0,0
18,2024S2,Kayle,0,1,0,"7,557",245,154,5,"4,915","11,359",0,0,0,0
19,2024S2,Skarner,0,1,1.4,"9,412",264.6,170,4.8,"17,502","36,376",0,0,0,0
1,2024S1,Darius,6,10,2.68,14204,429,207.3,6.3,"26,121","34,369",21,5,0,0
2,2024S1,Aatrox,7,5,2.66,11674,399.6,187.6,6.4,"21,533","25,623",10,1,0,0
3,2024S1,Camille,4,6,1.97,12095,363.5,177.6,5.3,"24,866","34,216",2,0,0,0
4,2024S1,Trundle,5,4,2.14,11999,420.4,190,6.7,"18,700","31,006",3,0,0,0
5,2024S1,Yone,5,4,2.37,11031,401.9,191.4,7,"20,494","20,276",4,0,0,0
6,2024S1,Poppy,1,4,2.38,9837,333.2,163,5.5,"17,548","25,744",0,0,0,0
7,2024S1,Vladimir,1,3,2.5,16065,407.4,244.8,6.2,"35,449","49,515",2,0,0,0
8,2024S1,Mordekaiser,2,1,2.38,12983,401.9,193.7,6,"25,561","27,254",2,1,0,0
9,2024S1,Rek'Sai,2,0,6.17,14368,391.7,212,5.8,"30,884","59,326",0,0,0,0
10,2024S1,Vel'Koz,1,1,2.67,11464,347.6,150.5,4.6,"31,676","15,962",2,1,1,0
11,2024S1,Singed,1,1,2.14,10556,375.7,158.5,5.6,"23,386","31,120",0,0,0,0
12,2024S1,Kled,0,2,1.67,9799,318.1,162,5.3,"15,233","39,197",0,0,0,0
13,2024S1,Veigar,1,0,9.18,13148,469.6,205,7.3,"24,217","11,170",0,0,0,0
14,2024S1,Volibear,1,0,23,16969,472.7,193,5.4,"46,995","47,547",1,0,0,0
15,2024S1,K'Sante,0,1,0.71,14654,337.9,274,6.3,"25,170","50,033",0,0,0,0
16,2024S1,Renekton,0,1,2.14,15141,419,264,7.3,"30,898","49,010",0,0,0,0
1,2023S2,Camille,15,17,2.31,"11,592",382.8,164.1,5.4,"22,900","29,468",16,1,0,0
2,2023S2,Poppy,14,13,2.47,"10,987",349.7,155.1,4.9,"23,051","28,711",12,2,0,0
3,2023S2,Trundle,10,9,2.33,"13,185",449.4,191.2,6.5,"21,506","32,358",14,2,0,0
