#,Season,Champions,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
1,2024S2,Miss Fortune,12,6,3.26,"11,567",389,161.9,5.4,"20,204","16,200",8,0,0,0
2,2024S2,Jhin,3,2,2.22,"12,173",354.7,185.2,5.4,"21,247","23,243",3,1,0,0
3,2024S2,Galio,1,4,2.56,"11,429",325.8,177,5,"18,955","36,265",2,0,0,0
4,2024S2,Ashe,1,3,2.3,"10,877",355.6,169,5.5,"17,055","22,967",0,0,0,0
5,2024S2,Tristana,1,1,1.06,"8,499",269.2,121.5,3.8,"11,416","26,455",0,0,0,0
6,2024S2,Garen,1,0,1,"7,881",302.3,131,5,"4,715","20,371",0,0,0,0
1,2024S1,Lissandra,8,9,1.12,"10,395",321.5,160.9,5,"17,399","29,104",5,0,0,0
2,2024S1,Galio,6,5,2.26,"10,905",340.4,143.9,4.5,"22,099","28,008",4,1,0,0
3,2024S1,Lux,3,3,1.16,"9,628",316,174,5.7,"16,931","17,849",0,0,0,0
4,2024S1,Malzahar,3,2,2.96,"12,059",399.2,180.4,6,"20,721","21,862",3,0,0,0
5,2024S1,Diana,1,0,0.78,"8,280",275.8,130,4.3,"11,622","19,295",0,0,0,0
6,2024S1,Akali,0,1,2,"14,478",381,150,3.9,"24,467","30,655",1,0,0,0
7,2024S1,Twisted Fate,0,1,0.82,"8,285",320.9,73,2.8,"11,511","28,228",0,0,0,0
1,2023S2,Lux,6,4,2.28,"11,147",337.8,176.6,5.4,"22,746","17,723",0,0,0,0
2,2023S2,Xerath,4,4,2.31,"11,346",347.4,167.5,5.1,"24,574","20,084",0,0,0,0
3,2023S2,Akali,1,2,0.87,"9,389",299.2,134.3,4.3,"12,477","28,537",0,0,0,0
4,2023S2,Malzahar,1,1,2,"7,865",326.3,155,6.4,"12,111","10,194",0,0,0,0
5,2023S2,Ziggs,1,1,0.95,"11,264",339.7,154.5,4.7,"20,786","23,325",0,0,0,0
6,2023S2,Aurelion Sol,1,0,1.1,"9,363",319.2,142,4.8,"10,819","19,520",0,0,0,0
7,2023S2,Galio,1,0,3.6,"10,267",383.6,99,3.7,"14,942","22,240",0,0,0,0
8,2023S2,Pantheon,0,1,0.67,"11,237",321.8,151,4.3,"20,913","33,416",0,0,0,0
9,2023S2,Veigar,0,1,1,"13,895",338.4,205,5,"21,516","34,134",0,0,0,0
10,2023S2,Malphite,0,1,1,"7,040",226.6,102,3.3,"9,192","17,183",0,0,0,0
1,2023S1,Malphite,6,3,2.13,"7,995",295.7,113.9,4.2,0,"18,810",0,0,0,0
2,2023S1,Maokai,0,3,0.35,"6,144",246,110.3,4.4,0,"25,437",0,0,0,0
3,2023S1,Jax,1,1,1.35,"12,150",329.3,175,4.7,0,"29,899",0,0,0,0
4,2023S1,Kayle,1,1,1.73,"10,482",351.2,156.5,5.2,0,"24,024",0,0,0,0
5,2023S1,Shen,1,1,1.83,"7,809",272.1,76,2.6,0,"29,256",1,0,0,0
6,2023S1,Pantheon,1,0,3.33,"7,523",370.3,88,4.3,0,"10,458",1,0,0,0
7,2023S1,Sett,0,1,1,"8,874",321.1,106,3.8,0,"33,304",0,0,0,0
8,2023S1,Irelia,0,1,1,"11,141",412.9,156,5.8,0,"30,815",1,0,0,0
9,2023S1,Garen,0,1,0.33,"5,665",226.3,67,2.7,0,"20,561",0,0,0,0
10,2023S1,Riven,0,1,0.71,"8,026",258.8,136,4.4,0,"22,437",0,0,0,0
11,2023S1,Mordekaiser,0,1,0.88,"7,987",314.4,104,4.1,0,"20,780",0,0,0,0
